fid,NAME,area_km2,project,lat,lon
"1",PLAYA_DE_LUPUNA,0.866025403783679,tactic,-3.741,-73.328
"2",PADRE_COCHA,0.866025403782755,tactic,-3.696,-73.281
"3",VARILLAL,0.866025403783649,tactic,-3.890,-73.351
"4",QUISTOCOCHA,0.866025403783679,tactic,-3.823,-73.328
"5",CENTRO_POBLADO_12_DE_ABRIL,0.866025403782755,tactic,-4.221,-73.483
"6",GRANJA_PORCINA_SAN_LUCAS,0.866025403783649,tactic,-4.103,-73.452
"7",LLANCHAMA,0.866025403784543,tactic,-3.854,-73.413
"8",CEMENTERIO_STO_TOMAS,0.866025403783709,tactic,-3.691,-73.258
"9",MAZAN,0.866025403782755,tactic,-3.497,-73.094
"10",INDIANA,0.866025403783619,tactic,-3.496,-73.048
"11",SAN_PABLO_DE_CUYANA,0.866025403783679,tactic,-3.768,-73.374
"12",PARAISO,0.866025403783143,tactic,-3.832,-73.374
